#12#57
22002400,John Doe,john.doe@example.com,1234567890,12345678,s,1000
22003800,Jane Smith,jane.smith@example.com,9876543210,87654321,c,3000
22004400,Michael Brown,michael.brown@example.com,5555555555,11223344,s,2500
22004200,Linda Johnson,linda.johnson@example.com,4444444444,44332211,c,4000
22003000,Robert White,robert.white@example.com,3333333333,55667788,s,8900
22005400,Susan Lee,susan.lee@example.com,2222222222,88776655,c,5400
22003200,James Taylor,james.taylor@example.com,1111111111,99009900,c,10100
22002800,Emily Harris,emily.harris@example.com,6666666666,22334455,s,8600
22005000,David Wilson,david.wilson@example.com,7777777777,66778899,c,2300
22004000,Sophia Moore,sophia.moore@example.com,8888888888,99887766,s,9700
22004100,Olivia Scott,olivia.scott@example.com,9999999999,33445566,c,12500
22005100,Ethan Hall,ethan.hall@example.com,1212121212,55664433,c,17900
